Status DB;comment;Channel;Account;Gruppe;Region;Verbund/Gruppe;Verbund 2/Gruppe 2;Strecken GH#;Payer#;Customer#;Name;Name Zusatz;street;ZIP-code;City;"new
Respons.";BuLand Abladestelle;Scoring;Plant;TSP;RegFT;Vorverladung;CallPlan;Anrufzeit;24/48er;EDI/TEL/FAX;EDI via BATconnect;delivery Prio;Call freq.;Mo;Di;Mi;Do;Fr;Sandwichpaletten;Abschlichten Originalpaletten;Kommivorgabe;"Sortenrein
ab 4ten cs";Shipping Instructions;"ZF Buchung
(Transporeon o andere)";"Info ordercuts
yes/no/summarized";"Info new GTIN
y/n/confirmation needed";nan;"only full MC
(exceptional tail brands)
yes/no";Hebebühne erforderlich;EuPal Pflicht?;Anlieferzeit;Kundeneigener WE Beleg;DDN live;DDN M@il;DESADV;GLN;EO-ID;F-ID;KAM;"CL
k €";BATconnect Sortiment;"Anzahl
Verkaufsstellen";Vorlauf regulär;"Tender
commitment to 48hrs
leadtime";check;SB bis 16.12.24;Calls pW;"old
Respons.
-10.3.25"
inaktiv;Bezieht über LT Rastatt/inaktiv seit 03/2025;Grocery;EFS;EDEKA;;;;50101462;50114820;50101462;EDEKA Foodservice Stiftung & Co. KG;C224;Römerstr. 166;72793;Pfullingen;Wioletta;09 - Bayern;;DE30;DE59;;;Nein;06:21:00;48er;EDI;;;;;X;;;;Nein;Nein;;;;no;;;;;;;;;;;;4310285224012;QCBDR+1DE222254;QCBDR<1DE222254297065;Johanna Düver;;;;;;;MK;1;SdS
aktiv;neu 10/2019;Grocery;EFS;EDEKA;;;;50086989;50114820;50086989;EDEKA Foodservice Stiftung & Co. KG;C206;Steinbeisstrasse 35;73614;Schorndorf;Krystian;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;;;;;;X;Nein;Nein;;;;no;;;;;;;07:00 - 15:00;;JA;;;4310285206018;QCBDR+1DE222254;QCBDR<1DE222254062239;Johanna Düver;;;;;;;MH;1;AW
inaktiv;Bezieht über LT Rastatt/inaktiv seit 03/2025;Grocery;EFS;EDEKA;;;;50053514;50114820;50053514;EDEKA Foodservice Stiftung & Co. KG;C202;Gewerbestrasse 1;79822;Titisee-Neustadt;Wioletta;08 - Baden-Württemberg;;DE30;DE59;;;Nein;06:21:00;48er;EDI;;;;;X;;;;Nein;Nein;;;;no;;;;;;;;;NEIN;;;4310285202010;QCBDR+1DE222254;QCBDR<1DE222254309812;Johanna Düver;;;;;;;MK;1;MR
inaktiv;Bezieht über LT Rastatt/inaktiv seit 03/2025;Grocery;EFS;EDEKA;;;;50105211;50114820;50105211;EDEKA Foodservice Stiftung & Co. KG;C204;Heiligenbreite 2;88662;Überlingen;Waleria;08 - Baden-Württemberg;;DE30;DE59;;;Nein;06:21:00;48er;EDI;;;;;;;;X;Nein;Nein;;;;no;;;;;;;;;JA;osb.ueberlingen.bestellsystem@edeka-foodservice.de;;4310285204014;QCBDR+1DE222254;QCBDR<1DE222254406116;Johanna Düver;;;;;;;CK;1;MK
inaktiv;Bezieht über LT Rastatt/inaktiv seit 03/2025;Grocery;EFS;EDEKA;;;;50103309;50114820;50103309;EDEKA Foodservice Stiftung & Co. KG;C215;Saarwiesenweg 1;66333;Völklingen;MartaM;10 - Saarland;;DE58;;;;Nein;06:21:00;48er;EDI;;;;;X;;X;;Nein;Nein;;;;no;;;;;;;;;JA;;;4310285215010;QCBDR+1DE222254;QCBDR<1DE222254066942;Johanna Düver;;;;;;;SdS;2;AW
aktiv;neu 10/2019 / Änderung auf Mo+Mi durch KN in 0124 angefragt + bestätigt;Grocery;EFS;EDEKA;;;;50040595;50114820;50040595;EDEKA Foodservice Stiftung & Co. KG;C229;Auf der Steig 10;78052;VS-Villingen;MartaR;09 - Bayern;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;;X;;X;;;Nein;Nein;;;;no;;;;;;;07:00 - 14:30;;JA;;;4310285229017;QCBDR+1DE222254;QCBDR<1DE222254891821;Johanna Düver;;;;;;;MK;2;AW
aktiv;;Grocery;EFS;EDEKA;;;;54235417;50114820;54235417;EDEKA Foodservice Stiftung & Co. KG;;Industriestr. 24;99427;Weimar;MartaM;16 - Thüringen;;DE30;DE57;;;Ja;06:21:00;48er;EDI;;;;;X;;X;;;;;;;no;;;;;;;08:00 - 14:00;;JA;;JA;400881803;QCBDR+1DE222254;QCBDR<1DE222254217186;Johanna Düver;;;;;;;MK;2;AW
aktiv;neu 10/2019;Grocery;EFS;EDEKA;;;;50106831;50114820;50106831;EDEKA Foodservice Stiftung & Co. KG;C222;Alte Schmelze 23;65201;Wiesbaden;AnnaS;07 - Rheinland-Pfalz;;DE58;;;;Ja;06:21:00;48er;EDI;;;;;;;;X;Nein;Nein;;;;no;;;;;;;06:00 - 14:00;;JA;;;4310285222018;QCBDR+1DE222254;QCBDR<1DE222254065292;Johanna Düver;;;;;;;SdS;1;
aktiv;;V&WS;Eikelberg;;;Tagroko;;50035060;50034362;50035060;Gebr. Eikelberg KG;;Halbe Höhe 51;45147;Essen;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Nein;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;no;;;;;;;09:00 - 12:00;;JA;;;40313001240;QCBDR+1DE512843;QCBDR<1DE512843328697;Saskia Adelstein;;;;;;;CB;1;SdS
aktiv;;V&WS;Eikelberg;;;;;50034362;50034362;50034362;Gebr. Eikelberg KG;;Halbe Höhe 51;45147;Essen;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;no;;;;;;;09:00 - 12:00;;JA;;;43062866085;QCBDR+1DE512843;QCBDR<1DE512843328697;Saskia Adelstein;;;;;;;CB;1;MK
deleted;neu ab kw36 2023 / letzet Order > 08.2024;newChannels;Emtrada;;;;;56188374;56188374;56188374;emtrada GmbH;Shishaworld;Fahrenheitstrasse 5;86899;Landsberg;;;;DE11;;;;Nein;06:21:00;48er;EDI;pot yes;X;X;;;X;;;Nein;Nein;;;;no;;;;;;;;;;;;4031300001998;;;Marko Djuricic;;;;;;;MK;1;AW
aktiv;;V&WS;Ermuri;;;tabacos;;50034452;50034452;50034452;Ermuri Genuss Company e.G.;;Am Brommerfeld 11;32758;Detmold;Dariusz;05 - Nordrhein-Westfalen;;DE30;Bielefeld;;;Ja;06:21:00;48er;EDI;;X;01;;X;;X;;Nein;Nein;;;;no;yes;;;yes;nein;nein;06:00 - 11:45 & 12:30 - 15:00;;NEIN;;;4024751000009;QCBDR+1DE840833;QCBDR<1DE840833852935;Thorben Krebs;;;;;;;MR;2;AW
inaktiv;letzte Order >08.2024;V&WS;Eugen Baur;;;;;50035135;50035135;50035135;Eugen Baur GmbH;;Kreuzäcker 9;88214;Ravensburg;MartaR;08 - Baden-Württemberg;;DE30;DE59;;;Nein;06:29:00;48er;Tel;pot yes;0;01;X;;;;;Nein;Nein;;;;no;;;;;;;;;;;;4031300001257;QCBDR+1DE465635;QCBDR<1DE465635501580;Frank Müller;;;;;;;MH;1;CK
aktiv;;newChannels;EX-Trade;;;;;53608040;53608040;53608040;EX-Trade GmbH & Co. KG;;Kreuzäcker-Ring 2;63814;Mainaschaff;AnnaS;09 - Bayern;;DE11;;;;Ja;06:25:00;48er;EDI;yes;;;X;X;X;X;X;Nein;Nein;;;;no;;;;;nein;;08:00 - 12:00;;;;;4031300001189;;;Marko Djuricic;;New Categories/ PRRP (Vuse, glo, neo, veo) + E-Com only Produkte;;;;;CB;5;MH
aktiv;;V&WS;F. Steinhaus;;;tabacos;VTG;50033780;50033780;50033780;F. Steinhaus GmbH & Co. KG;;Im Heidkamp 17;33334;Gütersloh;MartaM;05 - Nordrhein-Westfalen;;DE30;Bielefeld;;;Ja;06:21:00;48er;EDI;;X;01;X;;;X;;Nein;Nein;;;;no;;;;;;;08:00 - 10:00;;NEIN;;;4260298463864;QCBDR+1DE394022;QCBDR<1DE394022411428;Yves Gerard;;;;;;;MR;2;MH
inaktiv;Kein Direktbezug mehr ab 08/2023 - tbc;V&WS;Färber;;;;;50034687;50034687;50034687;Johann Färber e.K.;;Fürther Str. 14;90429;Nürnberg;;18 - Bayern ohne MariaHimmelfahrt;;DE52;TSP Nürnberg;;;Nein;10:30:00;48er;Tel;pot yes;0;01;;;;;X;Nein;Nein;;;;no;;;;;;;;;;;;4399902143165;QCBDR+1DE751759;QCBDR<1DE751759303507;Frank Müller;;;;;;;MK;1;MK
aktiv;;V&WS;Feu-Ki;;;Tagroko;;52594939;50035041;52594939;Feu-Ki Paul Kirsch KG;;Leostr.51-53;50823;Köln;MartaR;17 - Nordrhein-Westf mit Rosenmontag;;DE56;;;;Nein;06:15:00;24er;Fax/Mail;;X;01;;;;;X;Nein;Nein;;;;no;;;;;;;06:00 - 08:00;;;;;43062866214;QCBDR+1DE712133;QCBDR<1DE712133920311;;;;;;;;CB;1;MH
aktiv;;V&WS;Feu-Ki;;;tabacos;;50035041;50035041;50035041;Feu-Ki Paul Kirsch KG;;Leostr.51-53;50823;Köln;MartaR;17 - Nordrhein-Westf mit Rosenmontag;;DE56;;;;Ja;06:11:00;24er;EDI;;X;01;;X;;;X;Nein;Nein;;;;no;;;;;;;06:00 - 08:00;;JA;;;4260298463796;QCBDR+1DE712133;QCBDR<1DE712133920311;;;;;24er;no;;CB;2;MH
deleted;01/2026 keine aktive Geschäftsbeziehung;newChannels;fk components;;;;;53602837;53602837;53602837;fk components GmbH;;Von-Hindenburg-Allee 1;83471;Berchtesgaden;Waleria;09 - Bayern;;DE52;;;;Nein;06:25:00;48er;Fax/Mail;pot yes;;;;;X;;;Nein;Nein;;;;no;;;;;;;;;;;;4031300001196;;;Marko Djuricic;;;;;;;CK;1;AW
aktiv;;V&WS;Franz Glück;;;;;52219243;50034904;52219243;Franz Glück Tabakwaren GmbH;;Neuer Weg 8;72175;Dornhan;Wioletta;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;Tel;pot yes;X;01;;;;X;;Nein;Nein;;;;no;;;;;;;08:00 - 12:00;;JA;;;4031300001233;QCBDR+1DE101309;QCBDR<1DE101309690526;Joachim Götzelmann;;;;;;;CK;1;CK
aktiv;;V&WS;G. Lehner;;;;VTG;50033916;50033916;50033916;G. Lehner GmbH;;Ellwanger Str. 46;74564;Crailsheim;Krystian;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;yes;0;01;X;;X;;;Nein;Nein;;;;no;;;;;;;07:00 - 12:00;;JA;;;4031300001271;QCBDR+1DE218423;QCBDR<1DE218423145820;Yves Gerard;;;;;;;CK;2;AW
aktiv;RE Geschäft geht ab 07/2023 an Dietz - nur noch Vending;V&WS;Gengenbach;;;Tagroko;;50034896;50034282;50034896;Karl Gengenbach GmbH&CO.KG;;Aschenhausweg 4-6;74523;Schwäbisch Hall;Krystian;08 - Baden-Württemberg;;DE30;DE59;;;Nein;06:25:00;48er;Fax/Mail;;0;01;X;X;X;X;X;Nein;Nein;;;;no;;;;;;;07:00 - 11:00;;;info@tabak-gengenbach.de;;4260298463543;QCBDR+1DE630021;QCBDR<1DE630021329557;Frank Müller;;;;;;;MH;5;MK
aktiv;RE Geschäft geht ab 07/2023 an Dietz - nur noch Vending;V&WS;Gengenbach;;;tabacos;VTG;50034282;50034282;50034282;Karl Gengenbach GmbH&CO.KG;;Aschenhausweg 4-6;74523;Schwäbisch Hall;Krystian;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;;;;;;;07:30 - 08:00;;JA;fibu@gengenbach-sha.de;;4260298463543;QCBDR+1DE630021;QCBDR<1DE630021329557;Yves Gerard;;;;;;;MH;5;AW
inaktiv;marked for deletion;V&WS;Grätz;;;;;50034931;50034931;50034931;Josef Grätz;;Sedanstr. 8;84453;Mühldorf;;09 - Bayern;;DE52;;;;Nein;;;;;0;01;;;;X;;Nein;Nein;;;;no;;;;;;;;;;;;4031300001295;QCBDR+1DE576078;QCBDR<1DE251988882376;Joachim Götzelmann;;;;;;;CK;1;MH
inaktiv;marked for deletion;V&WS;Grätz;;;Tagroko;;50034122;50034931;50034122;Josef Grätz;;Sedanstr. 8;84453;Mühldorf;;09 - Bayern;;DE52;;;;Nein;06:25:00;48er;Fax/Mail;;0;01;;;;X;;Nein;Nein;;;;no;;;;;;;;;;;;;QCBDR+1DE576078;QCBDR<1DE251988882376;Joachim Götzelmann;;;;;;;CK;1;SdS
inaktiv;Direktbezug bis 31.03.2025;V&WS;Günter Enners;;;tabacos;;50034121;50034121;50034121;Günter Enners;;Olpketalstr. 74a;44229;Dortmund;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Nein;06:21:00;48er;EDI;;X;01;X;;;X;;Nein;Nein;;;;no;;;;;;;;;JA;;;4260298460238;QCBDR+1DE453379;QCBDR<1DE453379271135;Saskia Adelstein;;;;;;;MR;2;SdS
deleted;;V&WS;Günter Hartmann;;;;;53796182;53796182;53796182;Günter Hartmann Tabakvertrieb GmbH;;Messerschmittstr. 10;87437;Kempten;;09 - Bayern;;DE11;;;;Nein;06:25:00;48er;Fax/Mail;;0;WO;X;;;;;Nein;Nein;;;;no;;;;;;;;;;;;4031300001608;;;Joachim Götzelmann;;;;;;;CB;1;CK
aktiv;;V&WS;H. von der Heidt;;;tabacos;;50034792;50034792;50034792;H. von der Heidt;Tabakwarengroßhandel oHG;Beekmannshof 1;45472;Mülheim;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:11:00;24er;EDI;;X;01;;X;;;X;Nein;Nein;;;;no;;;;;;;06:30 - 07:30;;JA;;;4260298463963;QCBDR+1DE481969;QCBDR<1DE481969984080;Frank Müller;;;;24er;no;;CB;2;CK
aktiv;ab 25.08. Order per BATconnect;V&WS;Haas;;;;;50034914;50034914;50034914;Wilhelm Haas GmbH & Co.KG;;Nixböthestr. 40;35683;Dillenburg;AnnaS;06 - Hessen;;DE58;;;;Ja;06:21:00;48er;EDI;yes;0;WO;;X;;;;Nein;Nein;;;;no;;;;;;;08:00 - 12:00;;JA;;;4031300001479;QCBDR+1DE209759;QCBDR<1DE209759870679;Thorben Krebs;;;;;;;SdS;1;SdS
aktiv;NF zu Ross Kehl 50135774 ab 01.12.2024;V&WS;Hall;;;DTV;;56367623;56367623;56367623;Hall;;Handwerkstr. 1a;77694;Kehl;Waleria;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:11:00;24er;EDI;;X;01;X;;X;;;Nein;Nein;;;;no;;;;yes;nein;nein;Mo. - Fr. 07:00 - 12:00 + 14:45 - 16:00;;JA;wareneingang@ross-kg.de;;4399902534468;QCBDR+1DE862257;QCBDR<1DE862257290735;Gregor Radden;;;;48er;no;;MH;2;CB
aktiv;;V&WS;Hall;;;Tagroko;;50035406;50034848;50035406;Hall Tabakwaren;;An der Ludwigshöhe 1;66280;Sulzbach;Waleria;10 - Saarland;;DE58;Saarland Mariä Himmelfahrt;;;Nein;06:21:00;48er;EDI;;X;01;;;;;X;Nein;Nein;;;;no;yes;;;yes;;;07:30 - 10:00;;JA;Lager.Sulzbach@halltabakwaren.de;JA;4399901095526;QCBDR+1DE720784;QCBDR<1DE720784677145;Gregor Radden;;;;;;;SdS;1;MK
aktiv;;V&WS;Hall;;;Tagroko;;50035469;50034410;50035469;Hall Tabakwaren;;Gouleystr. 4;52146;Würselen;Krystian;05 - Nordrhein-Westfalen;;DE56;;;;Nein;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;;;06:00 - 08:00;;JA;Lager.Wuerselen@halltabakwaren.de;JA;4399901095533;QCBDR+1DE193385;QCBDR<1DE193385479117;Gregor Radden;;;;;;;AW;5;MR
aktiv;;V&WS;Hall;;;Tagroko;;50035401;50035405;50035401;Hall Tabakwaren e.K.;;Stralsunder Str. 65;33605;Bielefeld;Dariusz;05 - Nordrhein-Westfalen;;DE30;Bielefeld;;;Nein;06:21:00;48er;EDI;;X;01;;X;;;;Nein;Nein;;;;no;yes;;;yes;;;07:30 - 10:00;;NEIN;Lager.Bielefeld@halltabakwaren.de;JA;4312404000002;QCBDR+1DE932233;QCBDR<1DE932233969459;Gregor Radden;;;;;;;SdS;1;CK/MK/MH/AW/SdS/CD/CB/MR
aktiv;;V&WS;Hall;;;DTV;;50035405;50035405;50035405;Hall Tabakwaren e.K.;;Stralsunder Straße 65;33605;Bielefeld;Dariusz;05 - Nordrhein-Westfalen;;DE30;Bielefeld;;;Ja;06:21:00;48er;EDI;;X;01;;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;nein;;falls Spedition bis 09:00 h;;NEIN;wareneingang.bielefeld@halltabakwaren.de;JA;4312404000002;QCBDR+1DE932233;QCBDR<1DE932233969459;Gregor Radden;;;;;;;SdS;4;CK/MK/MH/AW/SdS/CD/CB/MR
aktiv;;V&WS;Hall;;;Tagroko;;50035402;50033791;50035402;Hall Tabakwaren e.K.;;Am Wall 20;14979;Großbeeren;Dariusz;12 - Brandenburg;;DE53;;;;Nein;06:21:00;48er;EDI;;X;01;;;;;X;Nein;Nein;;;;no;yes;;;yes;;;07:00 - 10:00;;JA;Lager.Berlin@halltabakwaren.de;JA;4399901643673;QCBDR+1DE355581;QCBDR<1DE355581055389;Gregor Radden;;;;;;;CD;1;CK
aktiv;;V&WS;Hall;;;DTV;;50033791;50033791;50033791;Hall Tabakwaren e.K.;;Am Wall 20;14979;Großbeeren;Dariusz;12 - Brandenburg;;DE53;;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;ja;ja;Mo-Do 07.00-13.00 Fr. 07.00-11.00 Uhr;;JA;Lager.Berlin@halltabakwaren.de;JA;4399901643673;QCBDR+1DE355581;QCBDR<1DE355581055389;Gregor Radden;;;;;;;CD;5;CB
aktiv;;V&WS;Hall;;;Tagroko;;50034201;50033966;50034201;Hall Tabakwaren e.K.;;Otto-Hahn-Str. 12a;40721;Hilden;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:11:00;24er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;;;07:00 - 00:00;;JA;Lager.Hilden@halltabakwaren.de;JA;4399901729735;QCBDR+1DE832419;QCBDR<1DE832419153873;Gregor Radden;;;;48er;no;;AW;5;MK
aktiv;01/2025 Übernahme von Pape Tabakwaren #50035247;V&WS;Hall;;;DTV;;50033966;50033966;50033966;Hall Tabakwaren e.K.;;Otto-Hahn-Str. 12a;40721;Hilden;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:11:00;24er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;ja;nein;falls Spedition bis 10:00 h;;JA;Lager.Hilden@halltabakwaren.de;JA;4399901729735;QCBDR+1DE832419;QCBDR<1DE832419153873;Gregor Radden;;;;48er;no;;AW;5;MK
aktiv;;V&WS;Hall;;;Tagroko;;50034652;50034676;50034652;Hall Tabakwaren e.K.;;Fraukircher Str.20;56637;Plaidt;MartaM;07 - Rheinland-Pfalz;;DE58;;;;Nein;06:21:00;48er;EDI;;X;01;;;;;X;Nein;Nein;;;;no;yes;;;yes;;;07:00 - 10:00;;JA;Lager.Plaidt@halltabakwaren.de;JA;4399901095632;QCBDR+1DE392209;QCBDR<1DE392209357282;Gregor Radden;;;;;;;SdS;1;SdS
aktiv;;V&WS;Hall;;;DTV;;50034676;50034676;50034676;Hall Tabakwaren e.K.;;Fraukircher Str.20;56637;Plaidt;MartaM;07 - Rheinland-Pfalz;;DE58;;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;ja;ja;Mo.-Do. 07:00h-15:00h /Fr. 07:00h-12:00h;;JA;Lager.Plaidt@halltabakwaren.de;JA;4399901095632;QCBDR+1DE392209;QCBDR<1DE392209357282;Gregor Radden;;;;;;;SdS;5;MK
aktiv;;V&WS;Hall;;;DTV;;50034848;50034848;50034848;Hall Tabakwaren e.K.;;An der Ludwigshöhe 1;66280;Sulzbach;Waleria;10 - Saarland;;DE58;Saarland Mariä Himmelfahrt;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;Ja;ja;Mo.-Do. 07:30h-15:00h/Fr.07:30h-14:00h;;JA;Lager.Sulzbach@halltabakwaren.de;JA;4399901095526;QCBDR+1DE720784;QCBDR<1DE720784677145;Gregor Radden;;;;;;;SdS;5;MH
aktiv;;V&WS;Hall;;;Tagroko;;50035410;50034610;50035410;Hall Tabakwaren e.K.;;Weinsheimer Str. 61;67547;Worms;AnnaS;07 - Rheinland-Pfalz;;DE58;;;;Nein;06:21:00;48er;EDI;;X;01;X;;;;;Nein;Nein;;;;no;yes;;;yes;;;07:00 - 12:00;;JA;Lager.Worms@halltabakwaren.de;JA;4399901643727;QCBDR+1DE126738;QCBDR<1DE126738171723;Gregor Radden;;;;;;;SdS;1;CB
aktiv;;V&WS;Hall;;;DTV;;50034610;50034610;50034610;Hall Tabakwaren e.K.;;Weinsheimer Straße 61;67547;Worms;AnnaS;07 - Rheinland-Pfalz;;DE58;;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;Ja;ja;Mo.-Do. 07:00h-15:00h /Fr. 07:00h-12:00h;;JA;Lager.Worms@halltabakwaren.de;JA;4399901643727;QCBDR+1DE126738;QCBDR<1DE126738171723;Gregor Radden;;;;;;;SdS;5;MK
aktiv;;V&WS;Hall;;;DTV;;50034410;50034410;50034410;Hall Tabakwaren e.K.;;Gouleystr. 4;52146;Würselen;Krystian;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;yes;;;yes;nein;ja;Mo-Do 08.00-13.00 Fr. 08.00-10.00 Uhr;;JA;Lager.Wuerselen@halltabakwaren.de;JA;4399901095533;QCBDR+1DE193385;QCBDR<1DE193385479117;Gregor Radden;;;;;;;AW;5;SdS
aktiv;;V&WS;Hall;;;DTV;;52404615;52404615;52404615;Hall Tabakwaren e.K. Automatengeschäft;;Uhlandstr. 6;34414;Warburg;MartaM;05 - Nordrhein-Westfalen;;DE30;HAJ;;;Ja;06:11:00;24er;EDI;;X;01;;;X;;;Nein;Nein;;;;no;;;;yes;;;08:00:00;;NEIN;Lager.Warburg@halltabakwaren.de;;4260412170272;QCBDR+1DE391625;QCBDR<1DE391625972007;Gregor Radden;;;;48er;no;;MR;1;MR
aktiv;keine GLN in SAP=keine RE Versand;V&WS;Hall;;SAR;;;53700865;50034676;53700865;Hall Tabakwaren e.K. c/o Hall Lollar;;Hall Lollar;;Plaidt;;07 - Rheinland-Pfalz;;DE58;;;;Nein;;;;;;;;;;;;Nein;Nein;;;;no;;;;yes;;;;;;Lager.Lollar@halltabakwaren.de;;;QCBDR+1DE392209;QCBDR<1DE392209357282;Gregor Radden;;;;;;;;0;CK
aktiv;2021 zuletzt genutzt;V&WS;Hall;;SAR;;;53603507;50033791;53603507;Hall Tabakwaren e.K. c/o KN Großbeeren;;Lilograben 14;14979;Großbeeren;;12 - Brandenburg;;DE53;;;;Nein;;;;;;;;;;;;Nein;Nein;;;;no;;;;yes;;;;;;Lager.Berlin@halltabakwaren.de;;;QCBDR+1DE355581;QCBDR<1DE355581296498;Gregor Radden;;;;;;;;0;SdS
aktiv;2019 zuletzt genutzt/ keine GLN in SAP=keine RE Versand/ 2025 Umzug nach Hegnbrunn;V&WS;Hall;;SAR;;;53700679;50035405;53700679;Hall Tabakwaren e.K. c/o KN Hannover LogIn Hegnabrunn;;LogIn Hegnabrunn;;Bielefeld;;05 - Nordrhein-Westfalen;;DE30;HAJ;;;Nein;;;;;;;;;;;;Nein;Nein;;;;no;;;;yes;;;;;;Lager.Bielefeld@halltabakwaren.de;;433205102;QCBDR+1DE932233;QCBDR<1DE932233264036;Gregor Radden;;;;;;;;0;CK/MK/MH/AW/SdS/CD/CB/MR
aktiv;Umzug nach BI 01.12. beauftragt/ keine GLN in SAP=keine RE Versand;V&WS;Hall;;SAR;;;53700847;50033966;53700847;Hall Tabakwaren e.K. c/o KN HH Bielefeld;;KN Bielefeld;;Hilden;;05 - Nordrhein-Westfalen;;DE54;;;;Nein;;;;;;;;;;;;Nein;Nein;;;;no;;;;yes;;;;;;Lager.Hilden@halltabakwaren.de;;433126100;QCBDR+1DE832419;QCBDR<1DE832419958546;Gregor Radden;;;;;;;;0;AW
aktiv;2019 zuletzt genutzt/ keine GLN in SAP=keine RE Versand;V&WS;Hall;;SAR;;;53700849;50034410;53700849;Hall Tabakwaren e.K. c/o KN HH;;KN Hamburg;;Würselen;;;;DE54;;;;Nein;;;;;;;;;;;;Nein;Nein;;;;no;;;;yes;;;;;;Lager.Wuerselen@halltabakwaren.de;;400882107;QCBDR+1DE193385;QCBDR<1DE193385479117;Gregor Radden;;;;;;;;0;CK
aktiv;;V&WS;Hall;;;DTV;;50035108;50035108;50035108;Hall Tabakwaren KG;;Borsigweg 2;88255;Baienfurt;Wioletta;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;;;;yes;;;07:00 - 00:00;;JA;Lager.Baienfurt@halltabakwaren.de;JA;4399901643741;QCBDR+1DE977279;QCBDR<1DE977279181921;Gregor Radden;;;;;;;MH;5;SdS
aktiv;;V&WS;Hall;;;Tagroko;;50035107;50035108;50035107;Hall Tabakwaren KG;;Borsigweg 2;88255;Baienfurt;Wioletta;08 - Baden-Württemberg;;DE30;DE59;;;Nein;06:21:00;48er;EDI;;X;01;;X;;;;Nein;Nein;;;;no;;;;yes;nein;nein;07:00-15:00 / Fr. - 12:30;;JA;Lager.Baienfurt@halltabakwaren.de;JA;4399901643741;QCBDR+1DE977279;QCBDR<1DE977279181921;Gregor Radden;;;;;;;MH;1;MK
aktiv;;V&WS;Hall;;;Tagroko;;50034545;50115360;50034545;Hall Tabakwaren KG;;Auweg 15;35457;Lollar;MartaM;06 - Hessen;;DE58;;;;Nein;06:21:00;48er;EDI;;X;01;;X;;;X;Nein;Nein;;;;no;;;;yes;;;06:00 - 07:30;;JA;Lager.Lollar@halltabakwaren.de;JA;4399901095489;QCBDR+1DE391283;QCBDR<1DE391283645941;Gregor Radden;;;;;;;SdS;2;MK
aktiv;;V&WS;Hall;;;DTV;;50115360;50115360;50115360;Hall Tabakwaren KG;;Auweg 15;35457;Lollar;MartaM;06 - Hessen;;DE58;;;;Ja;06:21:00;48er;EDI;;X;01;X;X;X;X;X;Nein;Nein;;;;no;;;;yes;ja;ja;Mo.-Do. 07:00h-13:00h/Fr.07:00h-12:00h;;JA;Lager.Lollar@halltabakwaren.de;JA;4399901095489;QCBDR+1DE391283;QCBDR<1DE391283645941;Gregor Radden;;;;;;;SdS;5;MK
aktiv;;Grocery;Hamberger;;;;;50935302;50935302;50935302;Hamberger Grossmarkt Berlin GmbH & Co. KG;;Erna-Samuel-Strasse 13;10551;Berlin;AnnaS;11 - Berlin;;DE53;;;;Ja;06:29:00;48er;Tel;;0;01;;;;X;;Nein;Nein;;;;no;;;;;;;07:00 - 15:00;;;;;;QCBDR+1DE825936;QCBDR<1DE825936001406;Steven Müggenburg;;;;;;;CD;1;SdS
