LFART_Types,LFART_TaO_Delivery_Types_for_3PL_Deutsch,WERKS,LGORT,LFDAT,VBELN,POSNR,PSTYV,ERNAM_x,MATNR,ARKTX,MATKL,LGMNG,MEINS,VSTEL,Paletten,Cases,Outers,Packs,GesamtGrossWeight,VKORG,LFART,KUNNR,NAME1,ORT01,PSTLZ,Ship-To,Plnt,Pickkosten,Monat,Jahr,Monat_Jahr
Outbound,ZLF (Standardlieferung),DE30,A101,2024-10-24,3203140324,60,ZTAN,98999033,10204313,"Vogue Bleue Claire 20 8,70 BC",ZFG100000,5.0,TH,DE30,0,1,0,0,5.76,DE10,ZLF,50035108,Hall Tabakwaren KG,Baienfurt,88255,50035108,DE59,0.23487791788589601,10.0,2024.0,10.2024
Outbound,ZLF (Standardlieferung),DE11,A101,2024-05-16,3202789167,20,ZTAN,98999033,10171629,Vuse PRO smart SKit Aqua,ZFG431000,0.005,TH,DE11,0,0,1,0,0.44,DE10,ZLF,54090712,Amazon,Helmstedt,38350,,DE11,0.0,5.0,2024.0,05.2024
Outbound,ZLF (Standardlieferung),DE54,A101,2024-03-18,3202765940,310,ZTAN,98999033,10191141,"Prince Rounded 20 8,70 NP",ZFG100000,5.0,TH,DE54,0,1,0,0,6.4,DE10,ZLF,50033965,Hinrich Wolters GmbH,Bremen,28777,,DE54,0.23487791788589601,3.0,2024.0,03.2024
Outbound,ZLF (Standardlieferung),DE11,A103,2024-09-09,3203091767,190,ZTNN,98999033,10193147,Vuse GO 700 Bry Watermln 20mg,ZFG439006,0.005,TH,DE11,0,0,0,5,0.165,DE10,ZLF,54206713,Shariat KG,Duesseldorf,40477,,DE11,0.0,9.0,2024.0,09.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-12-12,3203203332,60,ZTN1,_DE_CPS_BTCH,10178105,"neo Gold Tobacco 20 6,00 NP",ZFG510000,0.02,TH,DE19,0,0,0,1,17.131,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,12.0,2024.0,12.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-12-16,3203205887,10,ZTN1,_DE_CPS_BTCH,10194755,"LS Rounded Tob sticks 6,00",ZFG510000,0.02,TH,DE19,0,0,0,1,17.131,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,12.0,2024.0,12.2024
Outbound,ZNL (STO-Lieferung),DE30,A101,2024-09-12,3203093740,70,NLN,85024324,10199451,BHS_VEO_VIOCL_20/200_RF_GEW_BLUEB B,ZFG590013,40.0,TH,DE30,0,4,0,0,35.64,DE10,ZNL,PC-00-DE58,DE Kuehne+Nagel Mainz,Mainz-Hechtsheim,55129,,UNBEKANNT,0.9395116715435841,9.0,2024.0,09.2024
Outbound,ZLF (Standardlieferung),DE53,A101,2024-01-22,3202701387,170,ZTAN,98999033,10192381,"PM Auth Blue Giga 27 10,00 NP",ZFG100000,0.864,TH,DE53,0,0,4,0,1.112,DE10,ZLF,50035194,Metro Gastro Nienburg,Nienburg,31582,50035194,DE55,2.7194006818540597,1.0,2024.0,01.2024
Outbound,ZLF (Standardlieferung),DE52,A101,2024-09-19,3203101158,60,ZTAN,98999033,10203560,"PM Blue Giga LEH 31 11,80 NP",ZFG100000,14.88,TH,DE52,0,3,0,0,17.217,DE10,ZLF,50587429,NETTO Marken-Discount AG&CO.KG,Erharting,84513,,DE52,0.7046337536576881,9.0,2024.0,09.2024
Outbound,ZLF (Standardlieferung),DE54,A101,2025-02-12,3203251824,10,ZTAN,98901001,10216517,"HB Cl Blend Giga 23 10,00",ZFG100000,0.736,TH,DE54,0,0,4,0,0.976,DE10,ZLF,53837802,Handelshof Köln Stiftung & Co. KG,Rostock,18055,,DE54,2.7194006818540597,2.0,2025.0,02.2025
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-16,3202799975,10,ZTN1,_DE_CPS_BTCH,10193148,Vuse GO 700 Pepmint Ice 20mg,ZFG439006,0.001,TH,DE19,0,0,0,1,0.033,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-11-06,3203155312,900004,ZTAN,85171046,10208270,"LS Red Giga 24 10,00 INS",ZFG100000,165.888,TH,DE30,0,36,0,0,212.00400000000002,DE10,ZLF,50034577,Huissel Tabak GmbH,Nufringen,71154,50034577,DE59,8.455605043892257,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE54,A101,2024-01-22,3202701404,140,ZTAN,98999033,10192482,"LS Red Hercules 56 20,00 NP",ZFG100000,58.8,TH,DE54,0,14,0,0,68.26400000000001,DE10,ZLF,50034767,EDEKA Minden Hann. GmbH,Wiefelstede,26215,,DE54,3.2882908504025443,1.0,2024.0,01.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2025-02-17,3203262050,30,ZTN1,_DE_CPS_BTCH,10215211,"veo Scarlet Click 20 6,50 PC",ZFG590013,0.02,TH,DE19,0,0,0,1,16.36,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,2.0,2025.0,02.2025
nan,nan,DE56,nan,2024-02-01,3202718183,10,ZKNN,_DE_CPS_BTCH,10180347,Vuse PRO Caps Wmelon Bry 18mg,ZFG439003,0.002,TH,DE56,0,0,0,2,0.052,DE10,ZLKE,54180054,Deutsche Bahn Service Store,Wuppertal,42277,,DE56,0.0,2.0,2024.0,02.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-23,3202892833,10,ZTA1,_DE_CPS_BTCH,10180346,Vuse PRO Caps Grape Ice 18mg,ZFG439003,0.0,TH,DE19,0,0,0,0,0.0,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.0,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-05-22,3202954988,30,ZTN1,_DE_CPS_BTCH,10186081,"LS Rounded Tob sticks 6,00 NP",ZFG510000,0.02,TH,DE19,0,0,0,1,17.131,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,5.0,2024.0,05.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-03-18,3202635787,260,ZTAN,98999033,10192363,"PM Auth Blue Super 33 12,00 NP",ZFG100000,10.56,TH,DE30,0,2,0,0,12.598,DE10,ZLF,50033932,AWB Tabakwaren-Großeinkauf GmbH,Hannover,30539,50033932,DE55,0.46975583577179203,3.0,2024.0,03.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-12-04,3203193828,10,ZTA1,_DE_CPS_BTCH,10191249,GLO HYPER PRO SKit OBSIDIAN BLACK,ZFG511000,0.002,TH,DE19,0,0,2,0,0.326,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,1.3597003409270298,12.0,2024.0,12.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-06-26,3203004357,10,ZTA1,_DE_CPS_BTCH,10191272,GLO HYPER PRO SKit JADE TEAL,ZFG511000,0.001,TH,DE19,0,0,1,0,0.163,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.6798501704635149,6.0,2024.0,06.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-12-19,3203204722,150,ZTAN,98999033,10203501,"PM Blue Giga 26 10,00 NP",ZFG100000,24.96,TH,DE30,0,6,0,0,30.900000000000002,DE10,ZLF,50035405,Hall Tabakwaren e.K.,Bielefeld,33605,50035405,BIE,1.4092675073153762,12.0,2024.0,12.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-07-08,3203017379,20,ZTN1,_DE_CPS_BTCH,10189356,"neo Classic Tobacco 20 6,00 NP",ZFG510000,0.02,TH,DE19,0,0,0,1,17.351,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,7.0,2024.0,07.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-02-01,3202713976,270,ZTAN,98999033,10191977,"LS Red King 40 15,00 NP",ZFG100000,0.4,TH,DE56,0,0,2,0,0.506,DE10,ZLF,50034049,Metro C&C Markt GmbH,Leverkusen,51377,,DE56,1.3597003409270298,2.0,2024.0,02.2024
nan,nan,DE11,A1R2,,187081050,2000,ZELN,98999033,75117142,"RET 10,50 EU - 20 ST - S",ZFG160000,0.4,TH,nan,0,0,0,20,0.0,nan,nan,nan,nan,nan,00nan,,DE11,0.0,,,
Outbound,ZLF (Standardlieferung),DE11,A101,2025-02-06,3203246250,10,ZTAN,98999033,10196067,Vuse Pods Mango Ice 20mg,ZFG439003,0.05,TH,DE11,0,0,5,0,0.74,DE10,ZLF,50033960,Bernhard Hagemann GmbH & Co,Rheine,48431,,DE11,0.0,2.0,2025.0,02.2025
Outbound,ZLF (Standardlieferung),DE30,A101,2024-08-05,3203049610,10,ZTAN,98999033,10199689,"LS Red Hercules 56 20,00 IF",ZFG100000,58.8,TH,DE30,0,14,0,0,67.214,DE10,ZLF,50033736,Max Luening GmbH + Co KG,Langenberg,33449,50033736,BIE,3.2882908504025443,8.0,2024.0,08.2024
Inbound delivery,ZEL (Wareneingangslieferung),DE58,A101,2024-03-08,187017372,200,ZELN,_GL_CPS_BTCH,10186059,PALL ALLRE 120.00 1 BT GEW NP,ZFG130000,60.48,KG,DE58,2,0,0,0,155.232,nan,ZEL,nan,nan,nan,00nan,,DE58,0.0,3.0,2024.0,03.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2025-03-04,3203275944,30,ZTA1,_DE_CPS_BTCH,10200138,Vuse GO Reload Pen Aqua,ZFG431000,0.001,TH,DE19,0,0,0,1,0.033,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,3.0,2025.0,03.2025
Outbound,ZLF (Standardlieferung),DE11,A101,2024-11-25,3202959655,30,ZTAN,98999033,10196080,Vuse Pods Dark Cherry 20mg,ZFG439003,0.18,TH,DE11,0,1,0,0,2.92,DE10,ZLF,50034190,Tabakwaren Union Barkow GmbH,Bad Nenndorf,31542,50034190,DE55,0.0,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-12,3202797495,20,ZTN1,_DE_CPS_BTCH,10192193,"veo Green Click 20 5,80 BC",ZFG590013,0.02,TH,DE19,0,0,0,1,17.0,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE58,A101,2024-03-26,3202774439,40,ZTAN,98999033,50063290,"PM Allr Red Xtra 200 1,80 SUP",ZFG133000,50.0,TH,DE58,0,5,0,0,20.299999999999997,DE10,ZLF,50033745,Lekkerland SE,Elz,65604,,DE58,1.17438958942948,3.0,2024.0,03.2024
Outbound,ZLF (Standardlieferung),DE11,A101,2025-01-17,3203228750,120,ZTAN,98999033,10196091,Vuse Pods Berry Blend 20mg,ZFG439003,0.03,TH,DE11,0,0,3,0,0.44399999999999995,DE10,ZLF,50034511,Transgourmet DE GmbH & Co. OHG,Stahnsdorf,14532,,DE11,0.0,1.0,2025.0,01.2025
Outbound,ZLF (Standardlieferung),DE19,A104,2024-07-04,3203014392,10,ZTA1,_DE_CPS_BTCH,10189493,"neo True Tobacco 20 6,00 NP",ZFG510000,0.6,TH,DE19,0,0,3,0,0.5820000000000001,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,2.0395505113905448,7.0,2024.0,07.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-16,3202870331,10,ZTA1,_DE_CPS_BTCH,10180346,Vuse PRO Caps Grape Ice 18mg,ZFG439003,0.0,TH,DE19,0,0,0,0,0.0,DE10,ZLF2,51735171,nan,nan,00nan,,DE19,0.0,4.0,2024.0,04.2024
nan,nan,DE56,nan,2024-05-28,3202959651,10,ZKNN,98999033,10193086,Vuse GO 800 Orange Ice 20mg,ZFG439006,0.005,TH,DE56,0,0,0,5,0.2,DE10,ZLKE,50109261,Bft Station Tangenberg,Gronau,48599,,DE56,0.0,5.0,2024.0,05.2024
Outbound,ZLF (Standardlieferung),DE11,A101,2024-08-08,3203053144,80,ZTAN,98999033,10195056,Vuse PRO Caps Crisp Mint 18mg,ZFG439003,0.36,TH,DE11,0,2,0,0,5.88,DE10,ZLF,50033910,Tabacon Tabakwaren,Ronneburg,07580,50033910,DE57,0.0,8.0,2024.0,08.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-11-07,3203156942,100,ZTAN,98999033,50066126,"PM Allr Red Xtra 200 1,80",ZFG133000,10.0,TH,DE30,0,1,0,0,4.06,DE10,ZLF,50033817,Wolf Tabakwaren e.K.,Klipphausen,01665,50033817,DE57,0.23487791788589601,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-10-15,3203152065,10,ZTA1,_DE_CPS_BTCH,10196095,Vuse Pods Pepmint Ice 20mg,ZFG439003,0.002,TH,DE19,0,0,0,1,0.027,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,10.0,2024.0,10.2024
nan,nan,DE11,A1R2,,187500895,70,ZELN,98999033,10203468,PALL RED 32/256 KRE SQ GEW NPQ3HW3,ZFG100000,0.256,TH,nan,0,0,1,0,0.324,nan,nan,nan,nan,nan,00nan,,DE11,0.0,,,
Outbound,ZLF (Standardlieferung),DE19,A104,2024-08-13,3203064529,20,ZTA1,_DE_CPS_BTCH,10200129,Vuse GO Reload Box Black,ZFG431000,0.001,TH,DE19,0,0,0,1,0.041,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,8.0,2024.0,08.2024
Outbound,ZLF (Standardlieferung),DE58,A101,2024-10-25,3203141869,40,ZTAN,98999033,10203190,"PM Red Giga AP Edt 26 10,00 NP",ZFG100000,174.72,TH,DE58,1,0,0,0,239.988,DE10,ZLF,50115360,Hall Tabakwaren KG,Lollar,35457,,DE58,3.9857537195827315,10.0,2024.0,10.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-09,3202792901,40,ZTA1,_DE_CPS_BTCH,10192201,"veo Arctic Click 20 5,80 BC",ZFG590013,0.02,TH,DE19,0,0,0,1,17.0,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,4.0,2024.0,04.2024
Returns,ZLR (Rückgabe – BAT),DE11,A1R2,2024-04-22,3202762191,20,ZRE3,98999033,75114084,"RET 10,00 EU - 28 ST - R",ZFG160000,0.224,TH,DE11,0,0,0,0,,DE10,ZLR,50033835,Edeka Foodservice Stiftung & Co. KG,Hannover,30659,50033835,DE55,0.0,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-11-21,3203035086,130,ZTAN,98999033,50066126,"PM Allr Red Xtra 200 1,80",ZFG133000,10.0,TH,DE56,0,1,0,0,4.06,DE10,ZLF,50034877,Metro C&C Markt GmbH,Mülheim,45475,,DE56,0.23487791788589601,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-09-19,3203105830,10,ZTA1,_DE_CPS_BTCH,10193452,Vuse PRO Caps Wld Berries 18mg,ZFG439003,0.006,TH,DE19,0,0,0,3,0.078,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.2679646304750715,9.0,2024.0,09.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2025-04-14,3203317319,10,ZTN1,_DE_CPS_BTCH,10194763,"neo Gold Tobacco 20 6,50",ZFG510000,0.02,TH,DE19,0,0,0,1,17.131,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.08932154349169051,4.0,2025.0,04.2025
Outbound,ZLF (Standardlieferung),DE30,A101,2024-05-24,3202953652,80,ZTAN,98999033,10203672,"PM Red Giga 28 10,00 NP",ZFG100000,4.48,TH,DE30,0,1,0,0,5.448,DE10,ZLF,50035108,Hall Tabakwaren KG,Baienfurt,88255,50035108,DE59,0.23487791788589601,5.0,2024.0,05.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2025-04-08,3203307276,10,ZTAN,98999033,10219340,"Canuma 30g 5,50 TC",ZFG130000,5.4,KG,DE56,0,1,0,0,6.728,DE10,ZLF,50034909,Tobacco Candy World,Hamm,59067,,DE56,0.23487791788589601,4.0,2025.0,04.2025
Outbound,ZLF (Standardlieferung),DE56,A101,2024-05-08,3202868987,200,ZTAN,98999033,10190166,"LS Blue 20 8,40 NP",ZFG100000,1.0,TH,DE56,0,0,5,0,1.34,DE10,ZLF,53715228,Edeka Foodservice Stiftung & Co. KG,Bochum,44809,,DE56,3.3992508523175746,5.0,2024.0,05.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-11-26,3203177414,20,ZTAN,98999033,10194471,"PM Blue XL FiCi 17 3,00 TT",ZFG110000,8.5,TH,DE56,0,2,0,0,12.274,DE10,ZLF,50035253,H. Lomberg GmbH & Co.KG,Eitorf,53783,,DE56,0.46975583577179203,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE19,A101,2024-06-25,3202995438,90,ZTAN,98999033,10196091,Vuse Pods Berry Blend 20mg,ZFG439003,0.006,TH,DE19,0,0,0,3,0.081,DE10,ZLF,53718133,Lotto im Kaufland (TCW),Bottrop,46238,,DE19,0.2679646304750715,6.0,2024.0,06.2024
nan,Rücklieferung,DE19,A104,2024-02-05,14407465,10,ZRE2,_DE_CPS_BTCH,10176194,glo hyper X2 Air SKit Black,ZFG511000,0.001,TH,DE19,0,0,1,0,0.137,DE10,ZLR1,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.0,2.0,2024.0,02.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-16,3202819816,10,ZTA1,_DE_CPS_BTCH,10180346,Vuse PRO Caps Grape Ice 18mg,ZFG439003,0.0,TH,DE19,0,0,0,0,0.0,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.0,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-11-04,3203155626,10,ZTA1,_DE_CPS_BTCH,10196095,Vuse Pods Pepmint Ice 20mg,ZFG439003,0.03,TH,DE19,0,0,3,0,0.44399999999999995,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,2.0395505113905448,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-07-10,3203016592,250,ZTAN,98999033,10199689,"LS Red Hercules 56 20,00 IF",ZFG100000,0.0,TH,DE30,0,0,0,0,0.0,DE10,ZLF,50034493,Lekkerland SE,Borna,04552,50034493,DE57,0.0,7.0,2024.0,07.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-02-13,3202733109,10,ZTA1,_DE_CPS_BTCH,10171647,Vuse PRO smart Skit Schwarz,ZFG431000,0.001,TH,DE19,0,0,0,1,0.084,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.08932154349169051,2.0,2024.0,02.2024
Returns,ZLR (Rückgabe – BAT),DE11,A1R2,2024-07-11,3203020570,140,ZRE3,98999033,75119850,"RET 8,20 EU - 20 ST - S",ZFG160000,0.2,TH,DE11,0,0,0,10,0.0,DE10,ZLR,50034410,Hall Tabakwaren e.K.,Würselen,52146,,DE11,0.0,7.0,2024.0,07.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-06-19,3202982885,240,ZTAN,98999033,10199712,"LS Red GIGA 25 10,00",ZFG100000,20.0,TH,DE56,0,5,0,0,26.28,DE10,ZLF,50035462,Großhandel Jakobs GmbH,Heinsberg,52525,,DE56,1.17438958942948,6.0,2024.0,06.2024
Outbound,ZLF (Standardlieferung),DE58,A101,2024-10-07,3203118383,20,ZTAN,98999033,10210810,"Lord Extra Giga 23 10,00 BC",ZFG100000,9.2,TH,DE58,0,2,0,0,11.482,DE10,ZLF,50034610,Hall Tabakwaren e.K.,Worms,67547,,DE58,0.46975583577179203,10.0,2024.0,10.2024
Outbound,ZLF (Standardlieferung),DE56,A101,2024-11-28,3203179554,60,ZTAN,98999033,10194471,"PM Blue XL FiCi 17 3,00 TT",ZFG110000,1.7,TH,DE56,0,0,10,0,3.01,DE10,ZLF,50034049,Metro C&C Markt GmbH,Leverkusen,51377,,DE56,6.798501704635149,11.0,2024.0,11.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-04-23,3202820464,10,ZTA1,_DE_CPS_BTCH,10180346,Vuse PRO Caps Grape Ice 18mg,ZFG439003,0.0,TH,DE19,0,0,0,0,0.0,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,0.0,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-01-11,3202690689,10,ZKLN,98999033,75009822,Werbematerial Palette,ZEB551217,0.001,TH,DE30,1,0,0,0,120.0,DE10,ZLF,90000164,Bernd Meisetschlaeger,Sigmarszell,88138,90000164,DE59,3.9857537195827315,1.0,2024.0,01.2024
Outbound,ZLF (Standardlieferung),DE30,A101,2024-04-17,3202798048,260,ZTAN,98999033,10196252,"LS Auth Red Giga 25 10,00 PP",ZFG100000,16.0,TH,DE30,0,4,0,0,20.16,DE10,ZLF,50035405,Hall Tabakwaren e.K.,Bielefeld,33605,50035405,BIE,0.9395116715435841,4.0,2024.0,04.2024
Outbound,ZLF (Standardlieferung),DE19,A104,2024-12-30,3203215588,10,ZTA1,_DE_CPS_BTCH,10194426,"veo Tropical Twist 20 6,00",ZFG590013,0.4,TH,DE19,0,0,2,0,0.388,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,1.3597003409270298,12.0,2024.0,12.2024
Inbound delivery,ZELS (Wareneingang – konzerninterner STO),DE54,A101,2025-04-28,187843786,280,ZELS,_GL_CPS_BTCH,10223851,PALL RED 60/180 KRE SQ GEW NPQ225,ZFG100000,0.0,TH,DE54,0,0,0,0,0.0,nan,ZELS,nan,nan,nan,00nan,,DE54,0.0,4.0,2025.0,04.2025
Outbound,ZLF (Standardlieferung),DE19,A104,2024-06-12,3202978303,10,ZTA1,_DE_CPS_BTCH,10191271,GLO HYPER PRO SKit QUARTZ ROSE,ZFG511000,0.001,TH,DE19,0,0,1,0,0.163,DE10,ZLF2,51809254,BAT G - B2C E-Com. GLO shop,Hamburg,20354,,DE19,0.6798501704635149,6.0,2024.0,06.2024
Returns,ZLR (Rückgabe – BAT),DE11,A1R2,2024-10-02,3202956555,90,ZRE3,98999033,75122299,"RET 19,75 EU - 60 ST - S",ZFG160000,0.36,TH,DE11,0,0,0,6,0.0,DE10,ZLR,50594103,EDEKA Handelsgesellscha,Hamm,59069,,DE11,0.0,10.0,2024.0,10.2024
Inbound delivery,ZEL (Wareneingangslieferung),DE56,A101,2025-03-13,187758281,330,ZELN,_GL_CPS_BTCH,10218904,FAIR AMEBL 135.00 1 BT GEW TAX,ZFG130000,68.04,KG,DE56,2,0,0,0,162.624,nan,ZEL,nan,nan,nan,00nan,,DE56,0.0,3.0,2025.0,03.2025
Outbound,ZLF (Standardlieferung),DE19,A104,2025-02-04,3203248314,20,ZTA1,_DE_CPS_BTCH,10211279,Vuse Pods Crisp Mint 18mg,ZFG439003,0.02,TH,DE19,0,0,2,0,0.296,DE10,ZLF2,51735171,BAT G - B2C E-Com. VUSE shop,Hamburg,20354,,DE19,1.3597003409270298,2.0,2025.0,02.2025
